title,body,sentiment,source
"Gavin Newsom Names  America's Real 'Power Couple' --  And It Involves Trump, But Not Melania","It seems that social media users also agree with the California governor's choice. Power couples have the ability to capture the imagination of the masses -- and California Gov. Gavin Newsom's (D) pick is, uh, certainly doing that. On Sunday, the White House churned out yet another propaganda post on X, formerly Twitter, of President Donald Trump and first lady Melania Trump holding hands while walking down a red carpet swarmed by photographers and military personnel.",0.223529411764706,HuffPost
Panera reveals turnaround strategy to reverse stagnant sales,Panera reportedly benefited from a donor relationship with California Gov. Gavin Newsom. FOX Business' Lauren Simonetti reports. Panera Bread is launching a multimillion-dollar initiative to overhaul its operations to boost traffic and reverse years of stagnant sales growth.,0.223529411764706,Fox Business
Newsom postures in Brazil as Californians face higher energy prices,"We're not exactly shocked when politicians do political things, but Gov. Gavin Newsom didn't even try to hide the transparent goals of his recent trip to Brazil to attend a United Nations climate conference. Newsom is setting himself up for a likely run for the presidency, and has positioned himself as a foil to the GOP president. He's been successful so far, as his combative social-media taunts of Donald Trump and Proposition 50 redistricting victory make clear.",0.08235294117647052,Daily News
Letters to the Editor: Enough with the pearl-clutching over a woman's use of expletives,"To the editor: Really? In a landscape in which male politicians routinely lace their sentences with profanity like it's punctuation, the Los Angeles Times frames a story about alleged financial misconduct around a woman dropping f-bombs (""Foul-mouthed, brash and savvy: What to know about ex-Newsom aide tangled in a corruption probe,"" Nov. 14). Let's be clear: If Dana Williamson were a male consultant, her language would likely barely earn a sentence, let alone the repeated, pearl-clutching emphasis in this article.",0.07450980392156858,Los Angeles Times
"Comedian Jeff Dye Flees California for Texas: 'Gavin Newsom Scares the Sh*t Out of Me,' 'Those Fires Were a Wake-Up Call'","Comedian Jeff Dye is the latest Hollywood celebrity to flee the state of California. He says it is because of the Democrat leadership destroying the state. Appearing on the popular Joe Rogan Experience podcast, Dye announced that he has bought a home in Texas after becoming highly alarmed at the actions of California's radical, left-wing, Democrat Governor, Gavin Newsom. ""I'm kind of in this kind of LA thing, and I could be guilty of being a victim of what I'm absorbing in my algorithm.",-0.1529411764705882,Breitbart
"Letters to the Editor: Many love to criticize California, but it's ahead of the game in green energy","This is read by an automated voice. Please report any issues or inconsistencies here. To the editor: Thank you for the uplifting article about California having sufficient battery capacity to generate one-third of the estimated capacity needed to reach its goal of 100% clean energy by 2045 (""Newsom touts California's record battery energy gains at U.N. climate conference,"" Nov.",0.2705882352941176,Los Angeles Times
Trump admin sues over California law banning ICE from wearing face masks to shield identities,"Homeland Security Secretary Kristi Noem responds to the targeting of law enforcement officers on 'Jesse Watters Primetime.'

The Trump administration filed a lawsuit on Monday challenging California's law banning federal immigration agents from wearing face masks to hide their identities, arguing that the measure is unconstitutional. The lawsuit claims that the state does not have the authority to restrict federal agents. California Gov. Gavin Newsom signed the No Secret Police Act and the No Vigilantes Act into law in September.",-0.192156862745098,Fox News
The Amazon oil that made California rethink its climate playbook,"Even as the conference gave Gov. Gavin Newsom and the other Californians a largely warm welcome, it also exposed the awkward reality of California's reliance on oil from the Amazon: A flotilla brought Indigenous activists protesting oil extraction and agribusiness into the port city of Belém from deep in the Amazon, and a separate group of oil protesters even broke into the venue and clashed with U.N. security. California's refineries get roughly 30 percent of their oil supplies from the Amazon-region nations of Brazil, Ecuador and Guyana, some of which they go on to sell to neighboring states, according to the California Energy Commission.",0.0117647058823529,POLITICO
Trump Administration Sues California Over Laws Banning Masked Federal Agents,"LOS ANGELES (AP) -- The Trump administration filed a lawsuit Monday over California's new laws banning federal agents from wearing masks and requiring them to have identification while conducting operations in the state. The federal government has argued the laws threaten the safety of officers who are facing ""unprecedented"" harassment, doxing, and violence and said it will not comply with them. California became the first state to ban most law enforcement officers, including federal immigration agents, from covering their faces while conducting official business under a bill that was signed in September by Gov. Gavin Newsom.",-0.08235294117647063,HuffPost
Trump Administration Sues California Over Law Banning Masked Federal Agents,"LOS ANGELES (AP) -- The Trump administration filed a lawsuit Monday over California's new laws banning federal agents from wearing masks and requiring them to have identification while conducting operations in the state. The federal government has argued the laws threaten the safety of officers who are facing ""unprecedented"" harassment, doxing, and violence and said it will not comply with them. California became the first state to ban most law enforcement officers, including federal immigration agents, from covering their faces while conducting official business under a bill that was signed in September by Gov. Gavin Newsom.",-0.1607843137254902,U.S. News & World Report
Gavin Newsom declared as the Democratic Party's 2028 'frontrunner' by Politico,"Panelists discuss California Gov. Gavin Newsom emerging as a leader of the Democratic Party on the ""Journal Editorial Report.""

California Gov. Gavin Newsom was declared the Democratic frontrunner to win back the White House in 2028 by a column in Politico on Saturday. Politico senior political columnist Jonathan Martin wrote that Newsom has positioned himself over the past two years as the most viable Democratic contender for the presidency.",0.3411764705882352,Fox News
Trump administration sues California over law banning masked federal agents,"LOS ANGELES (AP) -- The Trump administration filed a lawsuit Monday over California's new laws banning federal agents from wearing masks and requiring them to have identification while conducting operations in the state. The federal government has argued the laws threaten the safety of officers who are facing ""unprecedented"" harassment, doxing, and violence and said it will not comply with them. California became the first state to ban most law enforcement officers, including federal immigration agents, from covering their faces while conducting official business under a bill that was signed in September by Gov. Gavin Newsom.",-0.08235294117647063,Boston Herald
Trump administration sues California over law banning masked federal agents,"LOS ANGELES -- The Trump administration filed a lawsuit Monday over California's new laws banning federal agents from wearing masks and requiring them to have identification while conducting operations in the state. The federal government has argued the laws threaten the safety of officers who are facing ""unprecedented"" harassment, doxing, and violence and said it will not comply with them. California became the first state to ban most law enforcement officers, including federal immigration agents, from covering their faces while conducting official business under a bill that was signed in September by Gov. Gavin Newsom.",-0.08235294117647063,Newsday
"Justice Department sues to block laws restricting masked, unidentified law enforcement officers in California","SACRAMENTO -- The U.S. Department of Justice sued California on Monday to block newly passed laws that prohibit law enforcement officials, including federal immigration agents, from wearing masks and that require them to identify themselves. The laws, passed by the California Legislature and signed by Gov. Gavin Newsom, came in the wake of the Trump administration's immigration raids in California, when masked, unidentified federal officers jumped out of vehicles this summer as part of the president's mass deportation program.",-0.01960784313725494,Los Angeles Times
Trump Administration Asks Court to Block California Ban on Masked Agents,"The Trump administration has filed a lawsuit against Gov. Gavin Newsom, challenging a California law he recently signed that prohibits law enforcement officers from wearing masks, a practice that became common this year amid the president's immigration crackdown. The suit claims that the mask ban, and a companion measure requiring federal agents to wear identification, are unconstitutional because states do not have the power to regulate federal agencies. It says federal law enforcement agencies will not comply with the pair of state laws, which take effect on Jan.",-0.1843137254901961,The New York Times
California mask ban for federal officers prompts US to sue state  --  and its leaders,"The U.S. Department of Justice sued the state of California, its governor and attorney general on Monday, challenging what the DOJ claims is an ""unconstitutional"" attempt to impede federal law enforcement by imposing a mask ban and identification requirement on officers. In September, Gov. Gavin Newsom signed laws making California the first state in the nation to prohibit federal law enforcement, including agents of U.S.",-0.2470588235294118,Daily News
DOJ sues to stop California's anti-ICE no-masking law,"The Trump Justice Department filed a lawsuit Monday to stop California's new law that seeks to ban federal immigration officers from wearing masks to conceal their identities, saying the government ""does not intend to comply.""

Trump officials cast the state law as an illegal attempt to undermine federal immigration enforcement powers, and said it puts agents and their families at risk by exposing their identities to dangerous people. The law, signed by Gov. Gavin Newsom and cheered by anti-ICE activists nationwide, is slated to take effect in January. Mr.",-0.2,Washington Times
US Justice Department Challenges California Mask Ban for Federal Officers,WASHINGTON (Reuters) -The U.S. Department of Justice on Monday filed a lawsuit challenging California's ban on federal law enforcement officers wearing masks while on duty. California Governor Gavin Newsom signed legislation in September prohibiting masking by local and federal law enforcement officers amid increased immigration enforcement efforts in the state. The Justice Department said it does not plan to comply with the state law as it violates the U.S.,-0.1764705882352942,U.S. News & World Report
